id,name,brewery_type,street,city,state,postal_code,website_url,phone,longitude,latitude
15,Angry James Brewing Co,micro,421 Adams Ave,Silverthorne,Colorado,80498,http://www.angryjamesbrewing.com,9704558800,-106.0764637,39.63306895
16,Anheuser-Busch Inc - Fort Collins,large,2351 Busch Dr,Fort Collins,Colorado,80524,,9704904500,-105.0019686,40.61817811
17,Animas Brewing Co,brewpub,1560 E 2nd Ave,Durango,Colorado,81301,http://www.animasbrewing.com,9704038850,-107.8769912,37.27997215
18,Asher Brewing Co,micro,4699 Nautilus Ct S Ste 104,Boulder,Colorado,80301,http://asherbrewing.com,3035301381,,
19,Aspen Brewing Company,micro,404 Aspen Airport Business Ctr,Aspen,Colorado,81611,http://www.aspenbrewingcompany.com,9709202739,-106.8597747,39.22153402
20,Atom Brewing Company,micro,654 Moffat St,Erie,Colorado,80516,http://www.atombrewingcompany.com,8634120917,-105.0542327,40.0488359
21,Atrevida Beer Company,micro,204 Mount View Ln Unit 3,Colorado Springs,Colorado,80908,http://www.atrevidabeerco.com,7192664200,,
22,Avalanche Brewing Co,brewpub,1067 Blair St,Silverton,Colorado,81433,http://www.avalanchebrewing.com,9703875282,-107.664791,37.8098899
23,Avery Brewing Co,regional,4910 Nautilus Ct N,Boulder,Colorado,80301,,,-105.2047652,40.0625835
24,Baere Brewing Company,micro,"320 Broadway, Unit E",Denver,Colorado,80203,http://www.baerebrewing.com,9709014810,,
25,Banded Oak Brewing Company,brewpub,470 N Broadway,Denver,Colorado,80203,http://Bandedoakbrewing.com,7204798033,-104.9874187,39.7282897
26,Barnett and Son Brewing Company,micro,18425 Pony Express Dr Unit 125,Parker,Colorado,80134,,7204200462,,
27,Barrel Dog Brewing,micro,,Evergreen,Colorado,80439,,5599176846,-105.321458,39.6361637
28,Barrels & Bottles Brewery,brewpub,600 12th St Ste 160,Golden,Colorado,80401,http://www.barrelsbottles.com,7203283643,-105.2202098,39.7562107
29,Beer By Design Brewery,contract,11490 Jackson St,Thornton,Colorado,80233,http://www.beerbydesign.com,3035172202,-104.9417886,39.9285623
30,Berthoud Brewing Company,micro,450 S 8th St Unit B,Berthoud,Colorado,80513,http://www.berthoudbrewing.com,9705329850,,
31,Beyond The Mountain Brewing Company,micro,6035 Longbow Dr Unit 109,Boulder,Colorado,80301,http://www.btmbrewing.com,7574072346,,
32,Bierstadt Lagerhaus,brewpub,2875 Blake St,Denver,Colorado,80205,http://www.bierstadtlager.com,7205707824,-104.9838084,39.7630094
33,BierWerks,brewpub,121 E. Midland Ave,Woodland Park,Colorado,80863,http://www.bierwerks.com,7196868100,-105.0519462,38.9941414
34,Big Beaver Brewing Co,micro,2707 W Eisenhower Blvd Ste 9,Loveland,Colorado,80537,http://www.bigbeaverbrew.com,9708186064,,
35,Big Choice Brewing Co,micro,21 S 1st Ave,Brighton,Colorado,80601,http://www.bigchoicebrewing.com,3034692616,-104.822433,39.98642943
36,Big Thompson Brewery,micro,114 E 15th St,Loveland,Colorado,80538,,,-105.0746687,40.40811243
37,BJs Restaurant & Brewery - Boulder,brewpub,1690 28th St,Boulder,Colorado,80301,http://www.bjsrestaurants.com,3034405200,-105.258512,40.0291592
38,Black Bottle Brewery,brewpub,1611 S College Ave Ste STE1609,Fort Collins,Colorado,80525,http://www.blackbottlebrewery.com,9704932337,,
39,Black Forest Brewing Company,brewpub,11590 Black Forest Rd Ste 50,Colorado Springs,Colorado,80908,http://www.blackforestbrewco.com,7193962011,,
40,Black Project Spontaneous & Wild Ales,micro,1290 S Broadway,Denver,Colorado,80210,http://www.blackprojectbeer.com,7203342873,-104.9872018,39.6933607
41,Black Shirt Brewing Co,brewpub,3719 Walnut St,Denver,Colorado,80205,http://www.blackshirtbrewingco.com,3039932799,-104.9729604,39.7698142
42,Black Sky Brewery,brewpub,490 Santa Fe Dr,Denver,Colorado,80204,http://www.blackskybrewing.com,9702154536,-104.9983183,39.7239431
43,Blue Moon Brewery,large,3750 Chestnut Pl,Denver,Colorado,80216,,,-104.9769417,39.7735561
44,Blue Spruce Brewing,brewpub,4151 E County Line Rd Unit G,Centennial,Colorado,80122,http://www.bluesprucebrewing.com,3037710590,,
45,Blue Spruce Brewing Littleton,brewpub,10577 W Centennial Rd,Littleton,Colorado,80127,http://www.bluesprucebrewing.com,,,
46,Boggy Draw Brewery,micro,3535 S Platte River Dr Ste L,Sheridan,Colorado,80110,http://www.boggydrawbrewing.com,7209400338,,
47,Bonfire Brewing,micro,127 W 2nd St,Eagle,Colorado,81631,http://www.bonfirebrewing.com,9703067113,-106.82826,39.65531966
48,Bonfire Brewing Production,micro,936 Chambers Ct. B-4,Eagle,Colorado,81631,,9703067113,,
49,Bootstrap Brewing Co,micro,6778 N 79th St,Niwot,Colorado,80503,http://www.bootstrapbrewing.com,3036524186,-105.1691581,40.09681247
50,Bootstrap Brewing,micro,142 Pratt St,Longmont,Colorado,80501,,3036524186,-105.1062808,40.16140505
51,Bottom Shelf Brewery,brewpub,118 E Mill St,Bayfield,Colorado,81122,http://www.bottomshelfbrewing.com,9708842442,-107.5990683,37.2251348
52,Boulder Beer Co,regional,2880 Wilderness Pl,Boulder,Colorado,80301,,,-105.2480158,40.026439
53,Boulder Beer On Walnut,brewpub,1123 Walnut St,Boulder,Colorado,80302,,3034471345,-105.2804375,40.0168555
54,Brass Brewing Company,micro,318 E Colorado Ave,Colorado Springs,Colorado,80903,,,-104.8189706,38.8326073
55,Breckenridge Brewery,large,2920 Brewery Ln,Littleton,Colorado,80120,http://www.breckenridgebrewery.com,3036232739,,
56,Breckenridge Brewery & Pub,large,600 S Main St,Breckenridge,Colorado,80424,http://www.breckbrewpub.com,9704531550,-106.0445665,39.47620392
57,Brew Pub and Kitchen,brewpub,117 W College Dr,Durango,Colorado,81301,http://www.brewpubkitchen.com,9702595959,-107.8831549,37.27036464
58,Brewability Lab,micro,12445 E 39th Ave Unit 314,Denver,Colorado,80239,http://www.Brewabilitylab.com,8163515085,,
59,Brewery Rickoli,micro,4335 Wadsworth Blvd,Wheat Ridge,Colorado,80033,http://www.breweryrickoli.com,3034316862,-105.0818046,39.7757286
60,Brewmented,micro,900 S Hover St Ste C,Longmont,Colorado,80501,http://www.brewmented.com,8772579956,,
61,Briar Common Brewery,brewpub,2298 N Clay St,Denver,Colorado,80211,http://www.briarcommon.com,7204703731,,
62,Bristol Brewing Co,micro,1604 S Cascade Ave,Colorado Springs,Colorado,80905,http://www.bristolbrewing.com,7196332555,-104.827401,38.8108617
63,Brix Taphouse and Brewery,brewpub,813 8th St,Greeley,Colorado,80631,http://www.brixtaphouseandbrewery.com,9703976146,-104.6911371,40.42495461
64,Broken Compass Brewing,micro,68 Continental Ct Unit B-12,Breckenridge,Colorado,80424,http://www.brokencompassbrewing.com,5419053016,,
65,Broken Plow Brewery,micro,4731 W 10th St Unit G,Greeley,Colorado,80634,http://www.brokenplowbrewery.com,9703978373,,
66,BRU Handbuilt Ales and Eats,brewpub,5290 Arapahoe Ave,Boulder,Colorado,80303,http://www.bruboulder.com,7206385193,-105.2293345,40.0141462
67,Brues Alehouse Brewing Company,brewpub,120 Riverwalk Place,Pueblo,Colorado,81003,http://www.bruesalehouse.com,7199249670,,
68,Bruz Beers,micro,1675 W 67th Ave Ste 100,Denver,Colorado,80221,http://www.bruzbeers.com,3036502337,,
69,Buckhorn Brewers LLC,micro,4229 W Eisenhower Blvd,Loveland,Colorado,80537,,9709808688,-105.0925735,40.4058904
70,Bull & Bush Brewery,brewpub,4700 E Cherry Creek South Dr,Denver,Colorado,80246,http://www.bullandbush.com,3037590333,-104.9488456,39.7116689
71,Burgundian Brewing Co.,micro,4725 Lipan St,Denver,Colorado,80211,http://www.facebook.com/BurgundianBrewing,4704400420,-105.0024095,39.7825168
72,"Burly Brewing Company, LLC",micro,680 Atchison Way Ste 700-800,Castle Rock,Colorado,80109,http://www.burlybrewing.com,,,
73,Butcherknife Brewing Company,micro,2875 Elk River Rd,Steamboat Springs,Colorado,80487,http://www.butcherknifebrewing.com,9708792337,-106.857763,40.510887
74,C.B. and Potts/Big Horn Brewery - Englewood,brewpub,6575 Greenwood Plaza Blvd,Englewood,Colorado,80111,http://www.cbpotts.com,3037701982,,
75,C.B. and Potts/Big Horn Brewery - Highlands Ranch,brewpub,43 W Centennial Blvd,Highlands Ranch,Colorado,80129,http://www.cbpotts.com,7203441200,-104.9887246,39.56211674
76,C.B. and Potts/Big Horn Brewery - Westminster,brewpub,1257 W 120th Ave,Westminster,Colorado,80234,http://www.cbpotts.com,3034515767,-105.0040899,39.91376115
77,Call To Arms Brewing Company,micro,4526 Tennyson St,Denver,Colorado,80212,http://www.facebook.com/calltoarmsbrewing,,-105.0435373,39.7788541
78,Cannonball Creek Brewing Co,micro,393 Washington Ave Unit A,Golden,Colorado,80403,http://www.cannonballcreekbrewing.com,3032780111,,
79,Capitol Creek Brewery,brewpub,371 Market St,Basalt,Colorado,81621,http://www.capitolcreekbrewery.com,8704043657,,
80,Carbondale Beer Works,brewpub,647 Main St,Carbondale,Colorado,81623,http://www.carbondalebeerworks.com,,-107.2134909,39.40060712
81,Carver Brewing Co,brewpub,1022 Main Ave,Durango,Colorado,81301,http://carverbrewing.com,9702592545,-107.8800415,37.2748415
82,Casey Brewing and Blending,micro,3421 Grand Ave Ste 4D,Glenwood Springs,Colorado,81601,http://www.caseybrewing.com,9702309691,,
83,Castle Rock Beer Company,micro,514 Perry St Ste C106,Castle Rock,Colorado,80104,http://www.castlerockbeerco.com,7203289008,,
84,Cellar West Artisan Ales,micro,1001 Lee Hill Dr Ste 10,Boulder,Colorado,80302,http://www.cellarwest.com,2627198795,,
85,Cerberus Brewing Company,brewpub,702 W Colorado Ave,Colorado Springs,Colorado,80905,http://www.cerberusbrewingco.com,7196362337,-104.8374071,38.8330574
86,Cerebral Brewing,micro,1477 Monroe St,Denver,Colorado,80206,http://www.cerebralbrewing.com,3039277365,-104.9451783,39.73968253
87,Chain Reaction Brewing Company,micro,902 S Lipan St,Denver,Colorado,80223,http://www.chainreactionbrewingco.com,3039220960,-105.001629,39.69879376
88,Cheluna Brewing Company,micro,2501 Dallas St Unit 148,Aurora,Colorado,80010,http://www.cheluna.com,7206000020,,
89,ChopHouse and Brewery - Denver,brewpub,1735 19th St Ste 100,Denver,Colorado,80202,http://www.craftworksrestaurants.com,3032960800,,
90,City Star Brewing,micro,321 Mountain Avenue,Berthoud,Colorado,80513,http://www.citystarbrewing.com,9705327827,-105.0809465,40.30505214
91,CO-Brew,micro,1133 N Broadway,Denver,Colorado,80203,http://www.cobrewdenver.com,7204854959,,
92,Coal Mine Ave Brewing Company,micro,9719 W Coal Mine Ave Unit A,Littleton,Colorado,80123,http://www.coalmineavebrewing.com,7205044866,,
93,Cogstone Brewing Co,brewpub,3858 Village Seven Rd,Colorado Springs,Colorado,80917,http://www.cogstonebrewing.com,7194186595,-104.75566,38.87959595
94,Colorado Boy Pizzeria,brewpub,320 E Main St,Montrose,Colorado,81401,http://www.coloradoboy.com,9702402790,-107.877366,38.47887872
95,Colorado Boy Pub & Brewery,brewpub,602 Clinton St.,Ridgway,Colorado,81432,http://www.coloradoboy.com,9706265333,-107.7577685,38.152358
96,Colorado Farm Brewery,micro,2070 County Road 12 S,Alamosa,Colorado,81101,http://www.cofarmbeer.com,7195800051,-105.9855918,37.40026048
97,Colorado Mountain Brewery At the Roundhouse,brewpub,600 S 21st St Unit 180,Colorado Springs,Colorado,80904,http://www.cmbrew.com,7194668240,,
98,Colorado Mountain Brewery,micro,1110 Interquest Pkwy,Colorado Springs,Colorado,80921,http://www.cmbrew.com,7192717951,-104.8083989,38.99103716
99,Colorado Plus,brewpub,6995 W 38th Ave,Wheat Ridge,Colorado,80033,http://coloradoplus.net,3038775957,-105.0916384,39.7693524
100,Comrade Brewing Company,micro,7667 E Iliff Ave Ste F,Denver,Colorado,80231,http://comradebrewing.com,7207480700,,
101,CooperSmiths Pub and Brewing,brewpub,5 Old Town Sq,Fort Collins,Colorado,80524,http://www.coopersmithspub.com,9704980483,-105.0755188,40.5873784
102,Copper Club Brewing Co,micro,233 E Aspen Ave,Fruita,Colorado,81521,http://www.copperclubbrew.com,9708588318,-108.7314921,39.1591638
103,Copper Kettle Brewing Company,micro,1338 S Valentia St Ste 100,Denver,Colorado,80247,http://www.copperkettledenver.com,7204432522,,
104,Crabtree Brewing,micro,2961 W 29th St,Greeley,Colorado,80631,http://www.crabtreebrewing.com,9703560516,-104.7875038,40.3899004
105,Crazy Mountain Brewing Co,regional,471 Kalamath St,Denver,Colorado,80204,http://www.crazymountainbrewery.com,9709263009,-105.0002926,39.72361171
106,Crestone Brewing Company,brewpub,187 West Silver Ave.,Crestone,Colorado,81131,http://www.crestonebrewingco.com,7192566400,,
107,Crooked Stave Artisan Beer Project,micro,1441 W 46th Ave Unit 17,Denver,Colorado,80211,http://www.crookedstave.com,7205083292,,
108,Crow Hop Brewing Co. Ltd.,micro,214 E 4th St,Loveland,Colorado,80537,http://www.crowhopbrewing.com,9706330643,-105.0735144,40.39536486
109,Crystal Springs Brewing Co,micro,657 S Taylor Ave,Louisville,Colorado,80027,http://www.crystalspringsbrewing.com,3038845602,-105.119781,39.964883
110,D.C. Oakes Brewhouse and Eatery,brewpub,3581 E Harmony Suite 110,Fort Collins,Colorado,80528,http://www.dcoakesbrewhouse.com,3034061757,,
111,Dad & Dudes Breweria,brewpub,6730 S Cornerstar Way Ste D,Aurora,Colorado,80016,http://breweria.com,3034005699,,
112,Dead Hippie Brewing,micro,3701 S Santa Fe Dr Unit 7,Sheridan,Colorado,80110,http://www.deadhippiebrewing.com,7204467961,,
113,Dean and Co,micro,201 Grant St,La Junta,Colorado,81050,,,,
114,Declaration Brewing Company,micro,2030 S Cherokee St,Denver,Colorado,80223,http://www.declarationbrewing.com,3039557410,-104.9910056,39.67973155
115,Denver Beer Co Canworks,micro,4455 Jason St,Denver,Colorado,80211,,7202954781,-105.0008302,39.7769429
116,Denver Beer Co,micro,1695 Platte St,Denver,Colorado,80202,http://www.denverbeerco.com,3034332739,-105.0072502,39.7583143
117,Denver Beer Co Olde Town Arvada,micro,5768 Olde Wadsworth Blvd,Arvada,Colorado,80002,,,-105.0814554,39.801625
118,DeSteeg Brewing Co/Blind Faith Brewing,micro,4342 Tennyson St,Denver,Colorado,80212,http://www.desteegbrewing.com,3034849698,-105.0438193,39.7760619
119,Diebolt Brewing,micro,3855 Mariposa St,Denver,Colorado,80211,http://www.dieboltbrewing.com,7206435940,-105.0032079,39.770332
120,Dillon Dam Brewery,brewpub,100 Little Dam Street,Dillon,Colorado,80435,http://www.dambrewery.com,9702627777,-106.0603129,39.62760465
121,Dive Bar Brewing Company,proprietor,5994 S Holly Street #146,Greenwood Village,Colorado,80111,http://divebarbeer.com,3039134355,,
122,Dolores River Brewery,brewpub,100 S. 4th St.,Dolores,Colorado,81323,http://www.doloresriverbrewery.com,9708824677,-108.504562,37.47323
123,Dos Luces Brewery,contract,1236 S Broadway,Denver,Colorado,80210,http://www.dosluces.com,3037254527,-104.9874923,39.6830067
124,Dostal Alley Brewing Co,brewpub,116 Main St,Central City,Colorado,80427,http://www.dostalalley.net,3035821610,-105.512426,39.8001431
125,Downhill Brewing,micro,18921 Plaza Dr Ste 104,Parker,Colorado,80134,http://www.elkmountainbrewing.com,3038052739,,
126,Dry Dock Brewing Co - North Dock,regional,2801 Tower Rd,Aurora,Colorado,80011,http://www.drydockbrewing.com,3034005606,-104.772404,39.758038
127,Dry Dock Brewing Co- South Dock,micro,15120 E Hampden Ave,Aurora,Colorado,80014,http://www.drydockbrewing.com,3034005606,-104.7680096,39.6529424
128,Dueces Wild Brewery,micro,660 Peterson Rd,Colorado Springs,Colorado,80915,http://www.dwbbrewery.com,6079729260,-104.7034318,38.8877651
129,Durango Brewing Co,brewpub,3000 Main Ave,Durango,Colorado,81301,http://www.durangobrewing.com,9702473396,-107.871981,37.297647
130,Echo Brewing Cask and Barrel,brewpub,600 Briggs St,Erie,Colorado,80516,,7203612332,-105.0477679,40.05042825
131,Echo Brewing Company,brewpub,5969 Iris Pkwy,Frederick,Colorado,80530,,,-104.944202,40.111448
132,Eddyline Brewing LLC,micro,102 Linderman Ave,Buena Vista,Colorado,81211,http://eddylinebrewery.com,7199666018,-106.131606,38.84025
133,Edgewater Brewery,brewpub,905 Struthers Ave,Grand Junction,Colorado,81501,http://www.kannahcreekbrewingco.com/edgewater-brewery,9702433659,-108.5575144,39.05565588
134,El Rancho Brewing,brewpub,29260 US Highway 40,Evergreen,Colorado,80439,http://www.elranchobrewing.com,3036702739,,
135,Elevation Beer Company,micro,115 Pahlone Pkwy,Poncha Springs,Colorado,81242,,,-106.0659377,38.51804434
136,Elk Avenue Brewing Company,brewpub,215 Elk Avenue,Crested Butte,Colorado,81224,,7733307876,-106.9861689,38.86984685
137,Endo Brewing Company,micro,2755 Dagny Way Ste 101,Lafayette,Colorado,80026,http://endobrewing.com,7204428052,-105.1341065,40.0144311
138,"Epic Brewing Co., LLC",micro,3001 Walnut St,Denver,Colorado,80205,http://www.epicbrewing.com,7205397410,-104.9813405,39.7632294
139,Equinox Brewing,micro,133 Remington St,Fort Collins,Colorado,80524,http://www.equinoxbrewing.com,9704841368,-105.0757134,40.5863266
140,Estes Park Brewery,micro,470 Prospect Village Dr,Estes Park,Colorado,80517,http://www.epbrewery.net,9705865421,-105.5261317,40.3714876
141,Evergreen Brewery,brewpub,2962 Evergreen Pkwy,Evergreen,Colorado,80439,http://www.evergreentaphouse.com,3037368419,,
142,Factotum Brewhouse,micro,3845 Lipan St,Denver,Colorado,80211,http://www.factotumbrewhouse.com,7204414735,-105.0020653,39.7702043
143,FATE Brewing Company,brewpub,1600 38th St Ste 100,Boulder,Colorado,80301,,,-105.2454818,40.0149794
144,Fermaentra,micro,1715 E Evans Ave,Denver,Colorado,80210,http://www.fermaentra.com,3039550736,-104.9428631,39.6784277
145,FH Beerworks,micro,521 S Tejon St,Colorado Springs,Colorado,80903,,7196406814,-104.8237318,38.8260086
146,Fiction Beer Company,micro,7101 E Colfax Ave,Denver,Colorado,80220,http://www.fictionbeer.com,7204567163,-104.8854207,39.7402188
147,Finkel & Garf Brewing Co.,micro,5455 Spine Rd Ste A,Boulder,Colorado,80301,http://www.finkelandgarf.com,,,
148,Floodstage Ale Works,brewpub,170 S Main St,Brighton,Colorado,80601,http://www.floodstagealeworks.com,3036547972,-104.8221009,39.98456564
149,Florence Brewing Company,micro,200 S Pikes Peak Ave,Florence,Colorado,81226,http://www.florencebrewing.com,7197847441,-105.1177755,38.3899222
150,Fossil Craft Beer Co,micro,2845 Ore Mill Rd Ste 1,Colorado Springs,Colorado,80904,http://www.fossilcraftbeer.com,7193758298,,
151,Frolic Brewing Company,brewpub,12910 Zuni St Ste 1300,Westminster,Colorado,80234,http://www.frolicbrewing.com,,,
152,Front Range Brewing Co.,brewpub,400 W South Boulder Rd Ste 1650,Lafayette,Colorado,80026,http://www.frontrangebrewingcompany.com,3033390767,,
153,Funkwerks,micro,1900 E Lincoln Ave Unit B,Fort Collins,Colorado,80524,http://www.funkwerks.com,9704823865,,
154,Gilded Goat Brewing Company,micro,3500 S College Ave Ste 194,Fort Collins,Colorado,80525,http://www.gildedgoatbrewing.com,9708257192,,
155,Glenwood Canyon Brewing Co,brewpub,402 7th St,Glenwood Springs,Colorado,81601,http://www.glenwoodcanyon.com,9709451276,-107.323424,39.5476563
156,Goat Patch Brewing Co.,micro,2727 N Cascade Ave Ste 123,Colorado Springs,Colorado,80907,http://www.goatpatchbrewing.com,7194714628,,
157,Gold Camp Brewing Co,micro,1007 S Tejon St,Colorado Springs,Colorado,80903,,7196950344,-104.823552,38.8195724
158,Golden Block Brewery,brewpub,1227 Greene St,Silverton,Colorado,81433,http://www.goldenblockbrewery.com,9703875962,-107.6642307,37.81194434
159,Golden City Brewery,brewpub,920 1/2 12th St,Golden,Colorado,80401,,3032798092,-105.2227813,39.75471167
160,Goldspot Brewing Co,micro,4970 Lowell Blvd,Denver,Colorado,80221,http://www.goldspotbrewing.com,3039555657,-105.0343545,39.7868924
161,Good River Beer Company,contract,1790 S Bannock St.,Denver,Colorado,80223,http://www.grbeerco.com,6023697442,-104.9898169,39.68421218
162,Gordon Biersch Brewery Restaurant - Broomfield,brewpub,1 W Flatiron Crossing Dr Ste 428,Broomfield,Colorado,80021,http://www.gordonbiersch.com/restaurant,7208872991,,
163,Gore Range Brewery,brewpub,105 Edwards Village Blvd,Edwards,Colorado,81632,http://www.gorerangebrewery.com,9709262739,-106.5953228,39.64367461
164,Grand Adventure Brewing Company,brewpub,207 Central Ave,Kremmling,Colorado,80459,http://www.grandadventure.us,9707249219,-106.3925656,40.0599844
165,"Grand Lake Brewing Co, The",brewpub,5610 Yukon St,Arvada,Colorado,80002,http://www.grandlakebrewing.com,3039081677,-105.082456,39.79927412
166,Grandma's House,micro,1710 S Broadway,Denver,Colorado,80210,http://www.grandmasbeer.com,3035786754,-104.9872737,39.74350567
167,Gravity Brewing,micro,1150 Pine St Unit B,Louisville,Colorado,80027,http://www.thegravitybrewing.com,3035440746,,
168,Great Divide Brewing Co,regional,2201 Arapahoe St,Denver,Colorado,80205,http://www.greatdivide.com,3032969460,-104.9885279,39.7539229
169,Great Divide Brewing Co - RiNo Barrel Bar,micro,1812 35th St,Denver,Colorado,80216,http://greatdivide.com/,3032969460,-104.979247,39.7703322
170,Great Frontier Brewing Company,micro,2010 S Oak St,Lakewood,Colorado,80227,http://www.greatfrontierbeer.com,7203281758,-105.1177216,39.6813614
171,Green Earth Brewing Company,micro,725 10th St Unit A,Greeley,Colorado,80631,http://www.greenearthbrewingco.com,9707022332,,
172,Green Mountain Beer Company,micro,2585 S Lewis Way Unit 110,Lakewood,Colorado,80227,http://www.greenmountainbeercompany.com,3039860201,,
173,"Grimm Brothers Brewhouse, LLC",micro,623 Denver Ave,Loveland,Colorado,80537,http://www.grimmbeer.com,9706246045,,
174,Grist Brewing Company,micro,9150 Commerce Center Cir Ste 300,Highlands Ranch,Colorado,80129,http://gristbrewingcompany.com,703604782,,
175,Grist Brewing Company - Lone Tree,micro,9535 Park Meadows Dr Ste F,Lone Tree,Colorado,80124,,3037289394,,
176,Grossen Bart Brewery,micro,1025 Delaware Ave Unit A,Longmont,Colorado,80501,http://www.grossenbart.com,7204382060,,
177,"Guanella Pass Brewing Company, LLC",micro,501 Rose Street,Georgetown,Colorado,80444,http://www.guanellapass.com,3035695167,-105.697303,39.705772
178,Gunbarrel Brewing Company,micro,7088 Winchester Cir Ste 2,Boulder,Colorado,80301,http://www.gunbarrelbrewing.com,8008035732,,
179,Halfpenny Brewing Company,micro,5150 E Arapahoe Rd Ste D1-B,Centennial,Colorado,80122,http://www.halfpennybrewing.com,7205830580,,
180,Hideaway Park Brewery,micro,78927 US Highway 40,Winter Park,Colorado,80482,http://www.hideawayparkbrewery.com,7204026513,,
181,High Alpine Brewing Company,brewpub,111 N Main St,Gunnison,Colorado,81230,http://www.highalpinebrewing.com,9706424500,-106.9270377,38.54462278
182,High Hops Brewery,micro,6461 State Highway 392,Windsor,Colorado,80550,http://www.highhopsbrewery.com,9706742841,-104.9357557,40.4799901
183,HighSide Brewery,micro,720 Main St,Frisco,Colorado,80443,http://www.highsidebrewing.com,9706682337,-106.0935416,39.57663329
184,Hogshead Brewery,micro,4460 W 29th Ave,Denver,Colorado,80212,http://www.hogsheadbrewery.com,3038869655,-105.04506,39.758232
185,Holidaily Brewing Co,micro,801 Brickyard Cir Ste B,Golden,Colorado,80403,http://www.holidailybrewing.com,3032782337,,
186,Horse & Dragon Brewing Company,micro,124 Racquette Dr,Fort Collins,Colorado,80524,http://www.horseanddragonbrewing.com,9706318038,,
187,Horsefly Brewing Co,brewpub,846 E Main St,Montrose,Colorado,81401,http://www.horseflybrewing.com,9702496889,-107.871306,38.48272365
188,Idylwilde Brewing,micro,116 Fawn Dr,Carbondale,Colorado,81623,http://idylwildebrewing.com,9702746332,,
189,Industrial Revolution Brewing Company,micro,285 Cheesman St,Erie,Colorado,80516,,3038281200,-105.0477556,40.05161529
190,Intersect Brewing,micro,2160 W Drake Rd Unit A1,Fort Collins,Colorado,80526,http://www.intersectbrewing.com,9706822041,,
191,Iron Bird Brewing Co.,brewpub,402 S Nevada Ave,Colorado Springs,Colorado,80903,http://www.ironbirdbrewing.com,7194247002,-104.8223799,38.8280292
192,Iron Tree Table & Taps,brewpub,37 Costello Ave,Florissant,Colorado,80816,http://www.irontreerestaurant.com,7197480124,,
193,Ironworks Brewery & Pub,brewpub,12354 W Alameda Pkwy Ste 110,Lakewood,Colorado,80228,http://www.ironworkspub.com,3039855818,,
194,Irwin Brewing Company,micro,326 Belleview,Crested Butte,Colorado,81224,http://www.irwinbrewingco.com,9702757578,-106.9853012,38.86695573
195,J. Fargo's Family Dining & Micro Brewery / Coyote J Brewing Co,brewpub,1209 E Main St,Cortez,Colorado,81321,http://www.jfargos.com,9705640242,-108.570199,37.348775
196,J Moe's Brewing Company,brewpub,7314 Washington St,Denver,Colorado,80229,http://www.creedebeer.com,3032874824,-104.9791943,39.7800007
197,Jagged Mountain Brewery,micro,1139 20th St,Denver,Colorado,80202,http://www.jaggedmountainbrewery.com,7206892337,-104.9913673,39.7522457
198,JAKs Brewing Company,micro,11860 Stapleton Dr,Peyton,Colorado,80831,http://www.jaksbrewing.com,7193751116,,
199,James Peak Brewery,brewpub,70 E First St,Nederland,Colorado,80466,http://www.jamespeakbrew.com,3032589453,,
200,Jessup Farm Barrel House,micro,1921 Jessup Dr,Fort Collins,Colorado,80525,http://jessupfarm.com/barrel-house/,9705688345,-105.0380013,40.5620458
