id,name,brewery_type,street,city,state,postal_code,website_url,phone,longitude,latitude
49,CooperSmiths Pub and Brewing,brewpub,5 Old Town Sq,Fort Collins,Colorado,80524,http://www.coopersmithspub.com,970-498-0483,-105.0755188,40.5873784
50,Copper Club Brewing Co,micro,233 E Aspen Ave,Fruita,Colorado,81521,http://www.copperclubbrew.com,970-858-8318,-108.7314921,39.1591638
51,Crabtree Brewing,micro,2961 W 29th St,Greeley,Colorado,80631,http://www.crabtreebrewing.com,970-356-0516,-104.7875038,40.3899004
52,Crazy Mountain Brewing Co,regional,471 Kalamath St,Denver,Colorado,80204,http://www.crazymountainbrewery.com,970-926-3009,-105.0002926,39.72361171
53,Crow Hop Brewing Co. Ltd.,micro,214 E 4th St,Loveland,Colorado,80537,http://www.crowhopbrewing.com,970-633-0643,-105.0735144,40.39536486
54,Crystal Springs Brewing Co,micro,657 S Taylor Ave,Louisville,Colorado,80027,http://www.crystalspringsbrewing.com,303-884-5602,-105.119781,39.964883
55,Declaration Brewing Company,micro,2030 S Cherokee St,Denver,Colorado,80223,http://www.declarationbrewing.com,303-955-7410,-104.9910056,39.67973155
56,Denver Beer Co,micro,1695 Platte St,Denver,Colorado,80202,http://www.denverbeerco.com,303-433-2739,-105.0072502,39.7583143
57,DeSteeg Brewing Co/Blind Faith Brewing,micro,4342 Tennyson St,Denver,Colorado,80212,http://www.desteegbrewing.com,303-484-9698,-105.0438193,39.7760619
58,Diebolt Brewing,micro,3855 Mariposa St,Denver,Colorado,80211,http://www.dieboltbrewing.com,720-643-5940,-105.0032079,39.770332
59,Dillon Dam Brewery,brewpub,100 Little Dam Street,Dillon,Colorado,80435,http://www.dambrewery.com,970-262-7777,-106.0603129,39.62760465
60,Dolores River Brewery,brewpub,100 S. 4th St.,Dolores,Colorado,81323,http://www.doloresriverbrewery.com,970-882-4677,-108.504562,37.47323
61,Dos Luces Brewery,contract,1236 S Broadway,Denver,Colorado,80210,http://www.dosluces.com,303-725-4527,-104.9874923,39.6830067
62,Dostal Alley Brewing Co,brewpub,116 Main St,Central City,Colorado,80427,http://www.dostalalley.net,303-582-1610,-105.512426,39.8001431
63,Dry Dock Brewing Co - North Dock,regional,2801 Tower Rd,Aurora,Colorado,80011,http://www.drydockbrewing.com,303-400-5606,-104.772404,39.758038
64,Dry Dock Brewing Co- South Dock,micro,15120 E Hampden Ave,Aurora,Colorado,80014,http://www.drydockbrewing.com,303-400-5606,-104.7680096,39.6529424
65,Dueces Wild Brewery,micro,660 Peterson Rd,Colorado Springs,Colorado,80915,http://www.dwbbrewery.com,607-972-9260,-104.7034318,38.8877651
66,Durango Brewing Co,brewpub,3000 Main Ave,Durango,Colorado,81301,http://www.durangobrewing.com,970-247-3396,-107.871981,37.297647
67,Eddyline Brewing LLC,micro,102 Linderman Ave,Buena Vista,Colorado,81211,http://eddylinebrewery.com,719-966-6018,-106.131606,38.84025
68,Edgewater Brewery,brewpub,905 Struthers Ave,Grand Junction,Colorado,81501,http://www.kannahcreekbrewingco.com/edgewater-brewery,970-243-3659,-108.5575144,39.05565588
69,Endo Brewing Company,micro,2755 Dagny Way Ste 101,Lafayette,Colorado,80026,http://endobrewing.com,720-442-8052,-105.1341065,40.0144311
70,"Epic Brewing Co., LLC",micro,3001 Walnut St,Denver,Colorado,80205,http://www.epicbrewing.com,720-539-7410,-104.9813405,39.7632294
71,Equinox Brewing,micro,133 Remington St,Fort Collins,Colorado,80524,http://www.equinoxbrewing.com,970-484-1368,-105.0757134,40.5863266
72,Estes Park Brewery,micro,470 Prospect Village Dr,Estes Park,Colorado,80517,http://www.epbrewery.net,970-586-5421,-105.5261317,40.3714876
73,Factotum Brewhouse,micro,3845 Lipan St,Denver,Colorado,80211,http://www.factotumbrewhouse.com,720-441-4735,-105.0020653,39.7702043
74,Fermaentra,micro,1715 E Evans Ave,Denver,Colorado,80210,http://www.fermaentra.com,303-955-0736,-104.9428631,39.6784277
75,Fiction Beer Company,micro,7101 E Colfax Ave,Denver,Colorado,80220,http://www.fictionbeer.com,720-456-7163,-104.8854207,39.7402188
76,Floodstage Ale Works,brewpub,170 S Main St,Brighton,Colorado,80601,http://www.floodstagealeworks.com,303-654-7972,-104.8221009,39.98456564
77,Florence Brewing Company,micro,200 S Pikes Peak Ave,Florence,Colorado,81226,http://www.florencebrewing.com,719-784-7441,-105.1177755,38.3899222
78,Glenwood Canyon Brewing Co,brewpub,402 7th St,Glenwood Springs,Colorado,81601,http://www.glenwoodcanyon.com,970-945-1276,-107.323424,39.5476563
79,Golden Block Brewery,brewpub,1227 Greene St,Silverton,Colorado,81433,http://www.goldenblockbrewery.com,970-387-5962,-107.6642307,37.81194434
80,Goldspot Brewing Co,micro,4970 Lowell Blvd,Denver,Colorado,80221,http://www.goldspotbrewing.com,303-955-5657,-105.0343545,39.7868924
81,Good River Beer Company,contract,1790 S Bannock St.,Denver,Colorado,80223,http://www.grbeerco.com,602-369-7442,-104.9898169,39.68421218
82,Gore Range Brewery,brewpub,105 Edwards Village Blvd,Edwards,Colorado,81632,http://www.gorerangebrewery.com,970-926-2739,-106.5953228,39.64367461
83,Grand Adventure Brewing Company,brewpub,207 Central Ave,Kremmling,Colorado,80459,http://www.grandadventure.us,970-724-9219,-106.3925656,40.0599844
84,"Grand Lake Brewing Co, The",brewpub,5610 Yukon St,Arvada,Colorado,80002,http://www.grandlakebrewing.com,303-908-1677,-105.082456,39.79927412
85,Grandma's House,micro,1710 S Broadway,Denver,Colorado,80210,http://www.grandmasbeer.com,303-578-6754,-104.9872737,39.74350567
86,Great Divide Brewing Co,regional,2201 Arapahoe St,Denver,Colorado,80205,http://www.greatdivide.com,303-296-9460,-104.9885279,39.7539229
87,Great Divide Brewing Co - RiNo Barrel Bar,micro,1812 35th St,Denver,Colorado,80216,http://greatdivide.com/,303-296-9460,-104.979247,39.7703322
88,Great Frontier Brewing Company,micro,2010 S Oak St,Lakewood,Colorado,80227,http://www.greatfrontierbeer.com,720-328-1758,-105.1177216,39.6813614
89,"Guanella Pass Brewing Company, LLC",micro,501 Rose Street,Georgetown,Colorado,80444,http://www.guanellapass.com,303-569-5167,-105.697303,39.705772
90,High Alpine Brewing Company,brewpub,111 N Main St,Gunnison,Colorado,81230,http://www.highalpinebrewing.com,970-642-4500,-106.9270377,38.54462278
91,High Hops Brewery,micro,6461 State Highway 392,Windsor,Colorado,80550,http://www.highhopsbrewery.com,970-674-2841,-104.9357557,40.4799901
92,HighSide Brewery,micro,720 Main St,Frisco,Colorado,80443,http://www.highsidebrewing.com,970-668-2337,-106.0935416,39.57663329
93,Hogshead Brewery,micro,4460 W 29th Ave,Denver,Colorado,80212,http://www.hogsheadbrewery.com,303-886-9655,-105.04506,39.758232
94,Horsefly Brewing Co,brewpub,846 E Main St,Montrose,Colorado,81401,http://www.horseflybrewing.com,970-249-6889,-107.871306,38.48272365
95,Iron Bird Brewing Co.,brewpub,402 S Nevada Ave,Colorado Springs,Colorado,80903,http://www.ironbirdbrewing.com,719-424-7002,-104.8223799,38.8280292
96,Irwin Brewing Company,micro,326 Belleview,Crested Butte,Colorado,81224,http://www.irwinbrewingco.com,970-275-7578,-106.9853012,38.86695573
97,J. Fargo's Family Dining & Micro Brewery / Coyote J Brewing Co,brewpub,1209 E Main St,Cortez,Colorado,81321,http://www.jfargos.com,970-564-0242,-108.570199,37.348775
98,J Moe's Brewing Company,brewpub,7314 Washington St,Denver,Colorado,80229,http://www.creedebeer.com,303-287-4824,-104.9791943,39.7800007
99,Jagged Mountain Brewery,micro,1139 20th St,Denver,Colorado,80202,http://www.jaggedmountainbrewery.com,720-689-2337,-104.9913673,39.7522457
100,Jessup Farm Barrel House,micro,1921 Jessup Dr,Fort Collins,Colorado,80525,http://jessupfarm.com/barrel-house/,970-568-8345,-105.0380013,40.5620458
101,Joyride Brewing Co,micro,2501 Sheridan Blvd,Edgewater,Colorado,80214,http://joyridebrewing.com,720-432-7560,-105.053492,39.7531231
102,Kannah Creek Brewing Co,brewpub,1960 N 12th St,Grand Junction,Colorado,81501,http://www.kannahcreekbrewingco.com,970-263-0111,-108.5522615,39.08513947
103,Kokopelli Beer Company,brewpub,8931 Harlan St,Westminster,Colorado,80031,http://www.kokopellibeer.com,720-840-6835,-105.0640386,39.8590102
104,Lady Justice Brewing Company,micro,4375 Eaton St,Denver,Colorado,80212,http://www.ladyjusticebrewing.com,,-105.0593393,39.7909855
105,Lake City Brewing Company,brewpub,130 Bluff St,Lake City,Colorado,81235,http://www.lcbrewco.com,970-944-5222,-107.3191335,38.02729486
106,Lariat Lodge Brewing,brewpub,27618 Fireweed Dr,Evergreen,Colorado,80439,http://www.LariatLodgeBrewing.com,303-674-1842,-105.3136925,39.63935145
107,Launch Pad Brewery,micro,884 S Buckley Rd,Aurora,Colorado,80017,http://www.launchpadbrewery.com,720-878-2627,-104.7911253,39.6853036
108,Left Hand Brewing Company,regional,1265 Boston Ave,Longmont,Colorado,80501,http://www.lefthandbrewing.com,303-772-0258,-105.1168403,40.158688
109,Little Machine,micro,2924 W 20th Ave,Denver,Colorado,80211,http://www.littlemachinebeer.com,303-284-7893,-105.0243557,39.7474051
110,Local Relic,brewpub,320 S Weber St,Colorado Springs,Colorado,80903,http://www.localrelic.com,719-270-0077,-104.8203866,38.82871975
111,Lone Tree Brewing Co,micro,8222 Park Meadows Dr,Lone Tree,Colorado,80124,http://www.lonetreebrewingco.com,303-792-5822,-104.8942075,39.56298697
112,Lost Friend Brewing Company,micro,2458 Montebello Square Dr,Colorado Springs,Colorado,80918,http://www.lostfriendbrewing.com,,-104.7823626,38.9082661
113,Loveland Aleworks,micro,118 W 4th St,Loveland,Colorado,80537,http://www.lovelandaleworks.com,970-405-7465,-105.0769672,40.39541012
114,Lumpy Ridge Brewing Co,micro,531 S St Vrain Ave,Estes Park,Colorado,80517,http://www.lumpyridgebrewing.com,970-235-1752,-105.503658,40.367158
115,Mad Jack's Mountain Brewery,micro,23 Main St,Bailey,Colorado,80421,http://www.madjacksmountainbrewery.com,303-816-2337,-105.4774352,39.40651269
116,Manitou Brewing Company,brewpub,725 Manitou Ave,Manitou Springs,Colorado,80829,http://www.manitou-brewing.com,719-282-7709,-104.9157413,38.8569869
117,Mash Lab Brewing,micro,4395 Highland Meadows Pkwy,Windsor,Colorado,80550,http://www.mashlabbrewing.com,970-262-9225,-104.9677936,40.4386998
118,Maxline Brewing,micro,2724 McClelland Dr Ste 190,Fort Collins,Colorado,80525,http://www.maxlinebrewing.com,970-286-2855,-105.0797489,40.55059012
119,McClellan's Brewing Company,brewpub,1035 S Taft Hill Rd,Fort Collins,Colorado,80521,http://www.mcclellansbrewingcompany.com,970-568-8473,-105.1151806,40.5737952
120,Mockery Brewing,micro,3501 Delgany St,Denver,Colorado,80216,http://Mockerybrewing.com,303-953-2058,-104.9797349,39.7712389
121,Moonlight Pizza,brewpub,242 F St,Salida,Colorado,81201,http://www.moonlightpizza.biz,719-539-4277,-105.9931616,38.53502271
122,Mother Tucker Brewery,micro,2360 E 120th Ave,Thornton,Colorado,80233,http://mothertuckerbrewery.com,303-565-9459,-104.9582581,39.91402476
123,Mountain Cowboy Brewing Company,brewpub,318 5th St,Frederick,Colorado,80530,http://www.mountaincowboybrewing.com,303-952-4433,-104.9369796,40.09855473
124,Mountain Sun Pub and Brewery,brewpub,1535 Pearl St,Boulder,Colorado,80302,http://www.mountainsunpub.com,303-546-0886,-105.2752277,40.0190131
125,Mountain Tap Brewery,brewpub,910 Yampa Street,Steamboat Springs,Colorado,80487,http://www.mountaintapbrewery.com,970-879-6646,-106.8355071,40.4853039
126,Mountain Toad Brewing,micro,900 Washington Ave,Golden,Colorado,80401,http://mountaintoadbrewing.com,720-638-3244,-105.2242563,39.75807905
127,New Belgium Brewing Co,regional,500 Linden St,Fort Collins,Colorado,80524,http://www.newbelgium.com,970-221-0524,-105.0678422,40.59335825
128,New Image Brewing Co,brewpub,5622 Yukon St,Arvada,Colorado,80002,http://www.nibrewing.com,770-881-1010,-105.0824595,39.79938347
129,New Terrain Brewing Company,micro,16401 Table Mountain Pkwy,Golden,Colorado,80403,http://newterrainbrewing.com,720-697-7848,-105.1851036,39.77781975
130,Odd13 Brewing Inc,micro,301 E Simpson St,Lafayette,Colorado,80026,http://www.odd13brewing.com,303-997-4164,-105.0878839,39.9983626
131,Odell Brewing Co,regional,800 E Lincoln Ave,Fort Collins,Colorado,80524,http://www.odellbrewing.com,970-498-9070,-105.0633327,40.5895239
132,Oskar Blues Brewery - Lyons,brewpub,303 Main St,Lyons,Colorado,80540,http://www.oskarblues.com,303-823-6685,-105.2676934,40.22451332
133,Our Mutual Friend Brewing,micro,2810 Larimer St,Denver,Colorado,80205,http://www.omfbeer.com,303-296-3441,-104.9825596,39.7605777
134,Ouray Brewery,brewpub,607 Main St,Ouray,Colorado,81427,http://www.ouraybrewery.com,970-325-7388,-107.6712878,38.0229071
135,Outer Range Brewing Co,micro,182 Lusher Court #2,Frisco,Colorado,80443,http://www.outerrange.com,970-368-3101,-106.0989298,39.5892615
136,Palisade Brewing Company,brewpub,200 Peach Ave,Palisade,Colorado,81526,http://www.palisadebrewingcompany.com,970-464-1462,-108.3542553,39.11109565
137,Paonia United Brewing Company,micro,325 Grand Ave,Paonia,Colorado,81428,http://www.paoniaunitedbrew.com,970-417-7759,-107.5976969,38.86899455
138,Paradox Beer Co,micro,10 Buffalo Ct,Divide,Colorado,80814,http://www.paradoxbeercompany.com,,-105.1550486,38.94440915
139,Pdub Brewing Co,brewpub,187 S Purcell Blvd,Pueblo,Colorado,81007,http://www.pdubbrewing.com,719-647-8864,-104.7084175,38.3164023
140,Peak To Peak Tap & Brew,brewpub,16701 E Iliff Ave,Aurora,Colorado,80013,http://www.peakbrews.com,720-446-8714,-104.8366181,39.6750535
141,Peaks N Pines Brewing Company,micro,4005 Tutt Blvd,Colorado Springs,Colorado,80922,http://www.peaksnpinesbrewery.com,719-358-6758,-104.7146045,38.88965993
142,Periodic Brewing LLC,brewpub,115 E 7th St,Leadville,Colorado,80461,http://www.periodicbrewing.com,720-316-8144,-106.2917767,39.2496419
143,Phantom Canyon Brewing Co,brewpub,2 E Pikes Peak Ave,Colorado Springs,Colorado,80903,http://www.phantomcanyon.com,719-635-2800,-104.8249314,38.83423935
144,Pilothouse Brewing Company,micro,4233 S Buckley Rd,Aurora,Colorado,80013,http://www.pilothousebrewco.com,303-994-4971,-104.7915508,39.63993222
145,Pints Pub Brewery and Freehouse,brewpub,221 W 13th Ave,Denver,Colorado,80204,http://www.pintspub.com,303-534-7543,-104.9908538,39.737018
146,Pitchers Sports Restaurant and Brewery,brewpub,1100 W Drake Rd,Fort Collins,Colorado,80526,http://www.pitchersbrewery.com,970-493-5374,-105.0973959,40.55306785
147,Platt Park Brewing Co.,micro,1875 S Pearl St,Denver,Colorado,80210,http://www.plattparkbrewing.com,303-968-6674,-104.9805967,39.68267416
148,Prost Brewing,micro,2540 19th St,Denver,Colorado,80211,http://www.prostbrewing.com,303-729-1175,-105.0067758,39.761363
149,Pug Ryan's Brewing Company,brewpub,104 Village Pl,Dillon,Colorado,80435,http://www.pugryans.com,970-468-2145,-106.0467598,39.62832675
150,Pumphouse Brewery and Restaurant,brewpub,540 Main St,Longmont,Colorado,80501,http://www.pumphousebrewery.com,303-702-0881,-105.1020999,40.1687619
151,Rails End Beer Company,micro,11625 Reed Ct,Broomfield,Colorado,80020,http://www.railsendbeerco.com,303-353-8121,-105.0750302,39.9084879
152,Ratio Beerworks,micro,2920 Larimer St,Denver,Colorado,80205,http://ratiobeerworks.com,310-266-9264,-104.9812181,39.7615104
153,Red Mountain Brewing,brewpub,400 Main St,Ouray,Colorado,81427,http://www.redmountainbrewingouray.com,970-325-9858,-107.671615,38.020713
154,Redgarden Brewery,brewpub,1700 Dogwood St,Louisville,Colorado,80027,http://www.redgardenbrewery.com,303-619-9601,-105.1138827,39.9674475
155,Renegade Brewing Company,micro,918 W 1st Ave,Denver,Colorado,80223,http://renegadebrewing.com,303-534-5407,-104.9992637,39.71831392
156,Renegade Brewing Company - Production,micro,918 W 1st Ave,Denver,Colorado,80223,http://www.renegadebrewing.com,720-401-4089,-104.9992637,39.71831392
157,Riff Raff Brewing,brewpub,274 Pagosa St,Pagosa Springs,Colorado,81147,http://www.riffraffbrewing.com,970-264-4677,-107.0081546,37.26874006
158,Rock Bottom Brewery - Centerra Promenade,brewpub,6025 Sky Pond Dr,Loveland,Colorado,80538,http://www.rockbottom.com,970-622-2077,-104.990385,40.418114
159,Rock Bottom Brewery - Colorado Springs,brewpub,3316 Cinema Point Dr,Colorado Springs,Colorado,80922,http://www.rockbottom.com,719-550-3586,-104.718194,38.8811909
160,Rockslide Brewing Co,brewpub,401 Main St,Grand Junction,Colorado,81501,http://www.rockslidebrewpub.com,970-241-9311,-108.5659153,39.0670106
161,"Rocky Mountain Taphouse, LLC",micro,3050 67th Ave Ste 104,Greeley,Colorado,80634,http://www.rockymountaintaphouse.com,970-302-6551,-104.7859342,40.387892
162,Rockyard Brewing Company,brewpub,880 Castleton Rd,Castle Rock,Colorado,80109,http://www.rockyard.com,303-814-9273,-104.8723394,39.4096188
163,Royal Gorge Brew Pub,brewpub,413 Main St,Canon City,Colorado,81212,http://www.royalgorgebrewing.com,719-345-4141,-105.2418113,38.44010539
164,Saint Patrick's Brewing Company,micro,2842 W Bowles Ave,Littleton,Colorado,80120,http://www.stpatricksbrewco.com,303-718-7575,-105.024584,39.6125875
165,San Luis Valley Brewing Co,brewpub,631 Main St,Alamosa,Colorado,81101,http://www.slvbrewco.com,719-587-2337,-105.8742898,37.4681813
166,Seedstock Brewery,micro,3610 W Colfax Ave,Denver,Colorado,80204,http://www.seedstockbrewery.com,720-476-7831,-105.0348519,39.74025203
167,Shamrock Brewing Company,brewpub,108 W 3rd St,Pueblo,Colorado,81003,http://www.shamrockbrewing.com,719-542-9974,-104.6078644,38.26965302
168,Sleeping Giant Brewing Company,micro,2500 W 5th Ave,Denver,Colorado,80204,http://www.sleepinggiantbrewing.com,,-105.0167729,39.7237975
169,Smuggler's Brewpub,brewpub,225 South Pine St,Telluride,Colorado,81435,http://www.smugglersbrewpub.com,970-728-5620,-107.8114274,37.9358018
170,Spangalang Brewery,micro,2736 Welton St Ste 102,Denver,Colorado,80205,http://www.spangalangbrewery.com,303-297-1276,-104.9770361,39.7552227
171,Spice Trade Brewing,brewpub,7803 Ralston Rd,Arvada,Colorado,80002,http://www.spicetradebrewing.com,303-431-9000,-105.0841731,39.802334
172,Square Peg Brewerks,micro,625 Main St,Alamosa,Colorado,81101,http://www.squarepegbrewerks.com,719-580-7472,-105.8742898,37.4681813
173,Station 26 Brewing Co,micro,7045 E 38th Ave,Denver,Colorado,80207,http://www.station26brewing.co,,-104.9062608,39.76935335
174,Steamworks Brewing Co,brewpub,801 E 2nd Ave,Durango,Colorado,81301,http://www.steamworksbrewing.com,970-259-9200,-107.87979,37.272176
175,Stein Brewing Company,micro,2516 49th St,Boulder,Colorado,80301,http://www.jwellsbrewery.com,303-396-0384,-105.2378323,40.0238083
176,Suds Brothers Brewing Co #2,brewpub,127 E Aspen Ave,Fruita,Colorado,81521,http://www.sudsbrothers2fruita.com,970-858-1571,-108.7326881,39.1591622
177,The Bakers' Brewery,brewpub,531 Silverthorne Ln,Silverthorne,Colorado,80498,http://www.thebakersbrewery.com,970-468-0170,-106.0672002,39.62976193
178,The Brew On Broadway (The BoB),micro,3445 S Broadway,Englewood,Colorado,80113,http://www.thebrewonbroadway.com,303-781-5665,-104.98772,39.65416792
179,The Grateful Gnome Sandwich Shoppe and Brewery,brewpub,4369 Stuart St,Denver,Colorado,80212,http://www.thegratefulgnome.com,720-598-6863,-105.0432655,39.7764426
180,The Intrepid Sojourner Beer Project,micro,925 W 8th Ave,Denver,Colorado,80204,http://sojournerbeers.com,812-249-8792,-104.9993865,39.7291386
181,The Larimer Beer Company,contract,3620 Newport St,Denver,Colorado,80207,http://www.thelarimer.com,720-507-6369,-104.9093487,39.76773768
182,The Post Brewing Co,brewpub,2027 13th St,Boulder,Colorado,80302,http://www.postbrewing.com,720-372-3341,-105.2788942,40.01847649
183,The Post Brewing Co,brewpub,105 W Emma St,Lafayette,Colorado,80026,http://www.postbrewing.com,303-593-2066,-105.0913165,39.99461105
184,The Sandlot Brewery At Coors Field,large,2145 Blake St,Denver,Colorado,80205,http://www.millercoors.com,303-298-1587,-104.9926484,39.75571836
